# TYPE, INDEX, NAME, PRICE, RENT, OPTION/COLOR
# -----------------------------------------------------------------
# ด้านล่าง (Bottom Edge)
ACTION,   0, START, START
PROPERTY, 1, BANGKOK, 1000, 750, RED
PROPERTY, 2, LOPBURI, 600, 450, LIME
CHANCE,   3, CHANCE_CARD
PROPERTY, 4, NAKHON_PATHOM, 800, 600, LIME
PROPERTY, 5, KOH_CHANG, 1200, 900, CYAN
PROPERTY, 6, NAKHON_SAWAN, 1500, 1125, GREEN
PROPERTY, 7, SAMUT_PRAKAN, 1600, 1200, GREEN

# ด้านซ้าย (Left Edge)
ACTION,   8, JAIL, JAIL
PROPERTY, 9, AYUTTHAYA, 1800, 1350, GREEN
PROPERTY, 10, HUA_HIN, 2200, 1650, PINK
PROPERTY, 11, SUPHAN_BURI, 2400, 1800, BLUE
PROPERTY, 12, RATCHABURI, 2600, 1950, BLUE
CHANCE,   13, CHANCE_CARD
PROPERTY, 14, RAYONG, 3000, 2250, DARK_BLUE
PROPERTY, 15, KOH_SAMET, 3200, 2400, DARK_BLUE

# ด้านบน (Top Edge)
SPECIAL,  16, EXPO, FESTIVAL
PROPERTY, 17, CHANTHABURI, 3500, 2625, DARK_BLUE
PROPERTY, 18, LAMPANG, 3800, 800, MAGENTA
PROPERTY, 19, KOH_PHI_PHI, 5000, 3750, MAGENTA
PROPERTY, 20, PHITSANULOK, 4200, 3150, MAGENTA
CHANCE,   21, CHANCE_CARD
PROPERTY, 22, BURIRAM, 4800, 3600, PURPLE
PROPERTY, 23, KHON_KAEN, 5200, 3900, PURPLE

# ด้านขวา (Right Edge)
ACTION,   24, WORLD_TOUR, WORLD_TRAVEL
PROPERTY, 25, KORAT, 5000, 3750, PURPLE
PROPERTY, 26, PATTAYA, 6000, 4500, ORANGE
PROPERTY, 27, PATTANI, 4200, 3150, ORANGE
PROPERTY, 28, PHUKET, 4500, 3375, ORANGE
CHANCE,   29, CHANCE_CARD
PROPERTY, 30, NONTHABURI, 4800, 3375, RED
PROPERTY, 31, CHIANG_MAI, 5000, 3750, RED
